通し番号	章	章内の通番	英単語	品詞	訳
175	R1	1	young	形	若い
176	R1	2	woman	名	女性
177	R1	3	until	前	~まで(ずっと)
178	R1	4	decide	動	決める
179	R1	5	sit	動	座る、座っている
180	R1	6	sat	■	sitの過去形・過去分詞
181	R1	7	comfortable	形	快適な
182	R1	8	seat	名	座席
183	R1	9	while	名	いくらかの間
184	R1	10	man	名	男性
185	R1	11	decide to ~	句	~することに決める
186	R1	12	a bag of ~	句	1袋の~
187	R1	13	sit down	句	座る
188	R1	14	after a while	句	しばらくして
189	R1	15	~, so that …	句	~、それで…
190	R1	16	nothing	代	ゼロ、何も~ない
191	R1	17	nerve	名	神経、図々しさ
192	R1	18	thought	■	thinkの過去形・過去分詞
193	R1	19	cause	動	引き起こす
194	R1	20	scene	名	場面、光景、大騒ぎ
195	R1	21	rude	形	無作法な、失礼な
196	R1	22	divide	動	分割する
197	R1	23	gave	■	giveの過去形
198	R1	24	deal	動	取り扱う、関わる
199	R1	25	anymore	副	もはや、これ以上
200	R1	26	quickly	副	すばやく
201	R1	27	put	■	putの過去形・過去分詞
202	R1	28	area	名	地域、地帯
203	R1	29	finally	副	やっと、ついに
204	R1	30	plane	名	飛行機
205	R1	31	into	前	~の中へ
206	R1	32	horror	名	恐ろしさ
207	R1	33	untouched	形	触れられていない
208	R1	34	mean	動	意味する
209	R1	35	each time ~	句	~するたびに
210	R1	36	cause a scene	句	騒ぎを起こす
211	R1	37	in half	句	半分に
212	R1	38	put away	句	〈元の場所などに〉収納する
213	R1	39	to one's horror	句	恐ろしいことに
214	R1	40	felt	■	feelの過去形・過去分詞
215	R1	41	ashamed	形	恥ずかしく思って
216	R1	42	completely	副	完全に
217	R1	43	wrong	形	まちがった
218	R1	44	forgot	■	forgetの過去形
219	R1	45	share	動	共有する
220	R1	46	without	前	~なしで
221	R1	47	apologize	動	謝る
222	R1	48	be wrong about ~	句	~について考えちがいしている
223	R1	49	share ~ with …	句	~を…と共有する
224	DL4	1	menu	名	メニュー
225	DL4	2	yogurt	名	ヨーグルト
226	DL4	3	garden	名	庭
227	DL4	4	salad	名	サラダ
228	DL4	5	classic	形	定番の、典型的な
229	DL4	6	pancake	名	パンケーキ
230	DL4	7	fresh	形	新鮮な、できたての
231	DL4	8	French toast	名	フレンチトースト
232	DL4	9	grilled	形	焼かれた、あぶった
233	DL4	10	bacon	名	ベーコン
234	DL4	11	melon	名	メロン
235	DL4	12	juice	名	果汁、肉汁
236	DL4	13	lime	名	ライム
237	DL4	14	jasmine	名	ジャスミン
238	DL4	15	strawberry	名	いちご
239	DL4	16	smoothie	名	スムージー
240	DL4	17	server	名	給仕する人
241	DL4	18	shall	助	当然~だろう
242	DL4	19	certainly	副	確かに、確実に
243	DL4	20	Shall I ~?	句	~しましょうか。
244	DL4	21	Yes, please.	句	はい、お願いします。
245	DL4	22	Would you like ~?	句	~はいかがですか。
246	DL4	23	Certainly.	句	かしこまりました。
247	DL4	24	Anything else?	句	ほかには何かいかがですか。
248	DL4	25	That's all.	句	以上です。
249	DL4	26	for now	句	今のところ
250	YC1	1	Finland	名	フィンランド
251	YC1	2	girl	名	女の子
252	YC1	3	country	名	国
253	YC1	4	boy	名	男の子
254	YC1	5	ice hockey	名	アイスホッケー
255	YC1	6	great-grandparent	名	曽祖父、曽祖母
256	YC1	7	Brazilian	名	ブラジル人
257	YC1	8	ago	副	<今から〉~前に
258	YC1	9	among	前	~の間で[に]、〜の中で[に]
