通し番号	章	章内の通番	英単語	品詞	訳
118	U6	1	guide	名	案内, 案内人
119	U6	2	visually impaired	形	視覚障害のある
120	U6	3	destination	名	目的地
121	U6	4	warn	動	警告する
122	U6	5	step	名	一歩、〈階段などの〉段、足元
123	U6	6	smart	形	頭のよい
124	U6	7	someone	代	だれか
125	U6	8	pay	動	<お金や注意を>払う
126	U6	9	attention	名	注意
127	U6	10	might	助	〜かもしれない
128	U6	11	assistance	名	援助
129	U6	12	pay attention to ~	句	〜に注意を払う
130	U6	13	girlfriend	名	ガールフレンド
131	U6	14	become	動	〜になる
132	U6	15	language	名	言語
133	U6	16	world	名	世界
134	U6	17	travel	動	旅行する
135	U6	18	make friends	句	友達を作る
136	U6	19	all over the world	句	世界中で
137	U6	20	website	名	ウェブサイト
138	U6	21	future	名	未来, 将来
139	U6	22	puppy	名	子犬
140	U6	23	walker	名	歩く人
141	U6	24	spend	動	<お金や時間を>費やす
142	U6	25	basic	形	基礎の
143	U6	26	social	形	社会の
144	U6	27	essential	形	不可欠の
145	U6	28	training	名	訓練
146	U6	29	test	名	テスト
147	U6	30	retire	動	引退する
148	U6	31	remaining	形	残りの
149	U6	32	another	形	もう1つの、別の
150	U6	33	learn to ~	句	〜することを身につける
151	U6	34	earth	名	<theをつけて>地球
152	U6	35	impress	動	よい印象を与える
153	U6	36	plant	動	植える
154	U6	37	donate	動	<お金や物品を>寄付する
155	U6	38	pick	動	つまみ取る、選ぶ
156	U6	39	trash	名	ごみ
157	U6	40	host	動	主催する、もてなす
158	U6	41	exchange	名	交換, 交流
159	U6	42	pick up ~	句	〜を拾い上げる
160	U6	43	glad	形	(ほっとして)うれしい
161	U6	44	according	形	〜にしたがった
162	U6	45	raise	動	<物を上に>上げる、育てる
163	U6	46	experience	名	経験
164	U6	47	according to ~	句	〜によると
165	U6	48	talk to ~	句	〜と話す、〜に相談する
166	U6	49	think about ~	句	〜について考える、検討する
167	U6	50	exam	名	試験
168	U6	51	rescue	動	救助する
169	U6	52	feed	動	食べ物を与える
170	U6	53	body	名	体
171	U6	54	member	名	一員
172	U6	55	look up ~	句	〜を調べる
173	U6	56	all the ~	句	すべての〜
174	AG6	1	drive	動	運転する、車で行く
175	R2	1	figure skater	名	フィギュアスケーター
176	R2	2	word	名	ことば
177	R2	3	inspire	動	鼓舞する
178	R2	4	event	名	出来事
179	R2	5	scared	形	こわがって
180	R2	6	ice skating	名	アイススケート
181	R2	7	rink	名	アイススケート場
182	R2	8	support	動	支援する、支える
183	R2	9	receive	動	受け取る
184	R2	10	able	形	有能な、〜できる
185	R2	11	continue	動	続ける、続く
186	R2	12	supporter	名	支援者
187	R2	13	thankful	形	感謝している
188	R2	14	communicate	動	<情報・意見・気持ちを>伝え合う
189	R2	15	speak	動	話す
190	R2	16	spoke	■	speakの過去形
191	R2	17	opinion	名	意見
192	R2	18	gesture	名	身ぶり
193	R2	19	somehow	副	どうにかして
194	R2	20	skill	名	技量
195	R2	21	became	■	becomeの過去形
196	R2	22	anyway	副	とにかく、それでも
197	R2	23	take away ~	句	〜を持ち去る
198	R2	24	because of ~	句	〜の理由で
199	R2	25	do one's best	句	全力を尽くす
200	R2	26	couldn't	短	could not の短縮形
201	R2	27	record	名	記録
202	R2	28	competition	名	競走, 競技会
203	R2	29	challenge	動	挑む
204	R2	30	limit	名	限界
205	R2	31	weakness	名	弱さ
206	R2	32	above	前	〜より上に、〜よりむしろ
207	R2	33	audience	名	聴衆
208	R2	34	succeed	動	成功する
209	R2	35	side	名	側, 面
210	R2	36	everything I can	句	できることすべて
211	R2	37	above all	句	何よりも
212	R2	38	all of ~	句	〜のすべて
213	R2	39	ask … to ~	句	…に〜するよう頼む
214	R2	40	be on one's side	句	〜の味方である
215	YCDI2	1	barrier-free	形	障壁のない
216	YCDI2	2	audio	形	音声の
217	YCDI2	3	restroom	名	〈公共施設の〉お手洗い
218	YCDI2	4	pictogram	名	ピクトグラム
219	YCDI2	5	large	形	大きい
220	YCDI2	6	ramp	名	傾斜路, スロープ
221	YCDI2	7	move	動	動かす、動く
222	YCDI2	8	service	名	奉仕
223	YCDI2	9	American	形	アメリカの
